22:29:43 No readable supervisor status yet.
22:59:41 RUNNING: 56 games, 1257 positions, 12389 ranked moves
22:59:46 RUNNING: 56 games, 1261 positions, 12429 ranked moves
22:59:51 RUNNING: 56 games, 1265 positions, 12469 ranked moves
22:59:56 RUNNING: 56 games, 1269 positions, 12509 ranked moves
23:00:01 RUNNING: 57 games, 1274 positions, 12559 ranked moves
23:00:06 RUNNING: 57 games, 1278 positions, 12599 ranked moves
23:00:11 RUNNING: 57 games, 1282 positions, 12639 ranked moves
23:00:16 RUNNING: 57 games, 1286 positions, 12679 ranked moves
23:00:21 RUNNING: 57 games, 1290 positions, 12719 ranked moves
23:00:26 RUNNING: 58 games, 1294 positions, 12758 ranked moves
23:00:31 RUNNING: 58 games, 1298 positions, 12798 ranked moves
23:00:36 RUNNING: 58 games, 1303 positions, 12848 ranked moves
23:00:41 RUNNING: 58 games, 1307 positions, 12888 ranked moves
23:00:46 RUNNING: 58 games, 1311 positions, 12928 ranked moves
23:00:51 RUNNING: 58 games, 1315 positions, 12968 ranked moves
23:00:56 RUNNING: 59 games, 1319 positions, 13008 ranked moves
23:01:01 RUNNING: 59 games, 1324 positions, 13058 ranked moves
23:01:06 RUNNING: 59 games, 1328 positions, 13098 ranked moves
23:01:11 RUNNING: 59 games, 1332 positions, 13138 ranked moves
23:01:16 RUNNING: 59 games, 1334 positions, 13157 ranked moves
23:01:21 RUNNING: 60 games, 1339 positions, 13207 ranked moves
23:01:26 RUNNING: 60 games, 1343 positions, 13247 ranked moves
23:01:31 RUNNING: 60 games, 1347 positions, 13287 ranked moves
23:01:36 RUNNING: 60 games, 1352 positions, 13337 ranked moves
23:01:41 RUNNING: 60 games, 1356 positions, 13377 ranked moves
23:01:46 RUNNING: 60 games, 1359 positions, 13407 ranked moves
23:01:51 RUNNING: 60 games, 1362 positions, 13437 ranked moves
23:01:56 RUNNING: 61 games, 1365 positions, 13465 ranked moves
23:02:01 RUNNING: 61 games, 1369 positions, 13505 ranked moves
23:02:06 RUNNING: 61 games, 1373 positions, 13545 ranked moves
